Take over?,Ref,Title (65 characters inc spaces),Outcome,Market sector,Open date,Decision date,Archive URL,Notes
Yes,MP-G&C/008,Mileage correction services: compliance review ,Court order,Retail and wholesale,01/11/12,01/03/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/mileage-compliance-review/,
Yes,CRE-E/26921,Mobilty aids sector: unfair practices (consumer enforcement),Undertakings,Healthcare and medical equipment,01/04/11,01/02/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/mobility-aids-market/,
Yes,,Modelling agencies: investigation into alleged misconduct of certain traders,Undertakings,"Clothing, footwear and fashion",01/01/09,01/11/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/modelling-entertainment/,
Yes,CRE-E/26745,MoreNiche: promotion of products by affiliate marketing businesses ,Undertakings,Distribution and Services Industries ,01/06/11,01/04/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/affliliate-marketing/,
Yes,CRE-E-26964,MyCityDeal Ltd (Groupon UK): trading practices,Undertakings,Retail and wholesale,01/07/11,01/06/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/groupon/,
Yes,,Non-delivery and false details from online retailer,No action,Retail and wholesale,01/02/10,01/02/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/non-delivery-and-false-details/,
Yes,CRE-E/26921,Olympic ticket selling to consumers,Court order,Retail and wholesale,01/06/12,01/03/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/olympic-ticket-selling/,
Yes,CRE-E/26352,Online defamation threats: possible infringement of the consumer protection legislation ,No action,??,01/10/10,01/08/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/online-defamation/,
Yes,CRE-E/27913,Online shopping company: non-delivery of orders and failure to provide refunds ,Undertakings,Retail and wholesale,01/09/11,01/09/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/osc/,
Yes,CRE-E/25219,Online trader: bogus investment opportunities ,No action,Retail and wholesale,01/11/09,01/09/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/online-trader-investigation/,
Yes,CRE-E/26922,Optimum Care Mobility Limited: investigation under Part 8 of the Enterprise Act 2002 ,Court order,Healthcare and medical equipment,01/04/11,01/07/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/mobility-aids/,
Yes,CRE-E/27017,Payment card surcharges practices used by certain airlines,Undertakings,Financial services,01/09/11,01/07/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/card-surcharges/,
Yes,CRE-E/25072,Incentive Leisure Group: timeshare products ,Undertakings,Distribution and Services Industries ,01/09/09,01/01/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/pegasus/,
Yes,CRE-E-26458,Penny auctions - Battybid: illegal use of automated bidding ,Undertakings,Retail and wholesale,01/12/09,01/12/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/penny-auctions-battybid/,
Yes,CRE-E-26458,Penny auctions - Scriptmatix: illegal use of artificial bids  ,Undertakings,Communications,01/08/10,01/12/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/penny-auctions-scriptmatix/,
Yes,CRE-E/16752,Prize draw promoters: investigation into aggressive practices ,Court order,Retail and wholesale,01/04/08,01/03/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/prize-draw-promoters/,
Yes,,Purchase of gold by post: unfair pressure on consumers,Undertakings,Retail and wholesale,01/11/09,01/02/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/goldpost/,
Yes,MP-G&C/0014,Quick house sales sector  providers,Undertakings,Distribution and Services Industries ,23/07/13,17/12/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/quick-house-sales/,
Yes,CRE-E/28039,Retail food pricing and promotional practices used by supermarkets,No action,Retail and wholesale,12/01/12,20/11/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/retail-food-pricing/,
Yes,,Retirement homes investigation into exit fees ,Court order,Distribution and Services Industries ,01/09/09,01/04/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/retirement-homes/,
Yes,CRE-E/25937,Secondary ticket services providers,Undertakings,Distribution and Services Industries ,04/08/10,27/12/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/secondary-ticket-services/,
Yes,CRE-E-25297,Shop4Tek: non-delivery of orders and failure to provide refunds,Court order,Retail and wholesale,01/12/09,,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/shop4tek/,
Yes,CRE-E/28985,Universities' terms and conditions relating to graduation and enrollment,No action,Public markets,01/07/13,01/02/14,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/university-terms/,
Yes,,UTCCRs investigation into contracts for providing unarranged overdraft charges ,Court order,Financial services,01/04/07,01/12/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/UTCCRs/,
Yes,CRE-E/18299,Vital Beauty and Swiss Home Shopping: unsolicited prize draw mailings ,Undertakings,Retail and wholesale,01/05/08,01/02/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/ama-vitalbeauty/,
Yes,CRE-E/25631,We Buy Any Car:  vehicle buying service to consumers,Undertakings,Retail and wholesale,01/03/10,01/03/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/we_buy_any_car/,
Yes,CE9706-12,Weatherseal Home Improvements Limited: practices used in the sale of double glazing and other related products,Undertakings,Building and construction,01/10/12,31/01/14,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/consumer-enforcement/consumer-enforcement-completed/energy-efficiency/,
