Year,Title,Summary,Case type,Outcome type,Market sector,Open date,Closed date,Archive URL
2007,Rolling stock leasing market investigation (CC),Closed Competition Commission (CC) market investigation.,Markets,Markets - phase 2 adverse effect on competition leading to remedies,Transport,26.04.07,07.04.09,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/rolling-stock-leasing-market-investigation
2013,Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust / Poole Hospital NHS Foundation Trust merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition,Healthcare and medical equipment,08.01.13,17.10.13,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/royal-bournemouth-and-christchurch-poole
2006,Safenet Inc / nCipher plc merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Electronics industry,30.03.06,21.04.06,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/safenet-inc-ncipher-plc
2011,Sector Treasury Services Ltd / Butlers merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Financial services,31.03.11,31.08.11,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/sector-treasury-services-icap-butlers
2004,Serviced Dispense Equipment Ltd / Coors Brewers Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition,Distribution and service industries,29.09.04,11.03.05,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/serviced-dispense-equipment-limited-sdel-coors-brewers-limited-coors
2005,Somerfield plc / Wm Morrison Supermarkets plc merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition,Retail and wholesale,23.03.05,02.09.05,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/somerfield-plc-wm-morrison-supermarkets-plc
2006,South East Water Ltd / Mid Kent Water Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance with remedies,Utilities,16.11.06,01.05.07,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/south-east-mid-kent-water
2012,South Staffordshire Plc / Cambridge Water PLC merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Utilities,05.01.12,31.05.12,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/south-stafford-cambridge-water
2007,Sportech plc / Vernons merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Recreation and leisure,03.05.07,11.10.07,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/sportech-plc-vernons
2009,Sports Direct International plc / JJB Sports plc merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Retail and wholesale,07.08.09,16.03.10,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/sportsdirect-jjb-sports
