Year,Title,Summary,Case type,Outcome type,Market sector,Open date,Closed date,Archive URL
2008,CineWorld Group plc / Hollywood Green Leisure Park merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Recreation and leisure,17.03.08,02.04.08,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/cineworld-group-plc-hollywood-green-leisure-park-wood-green
2005,Classified directory advertising services market investigation (CC),Closed Competition Commission (CC) market investigation.,Markets,Markets - phase 2 adverse effect on competition leading to remedies,Communications ,05.04.05,21.12.06,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/classified-directory-advertising-services
2006,Clifford Kent Holdings Ltd / Deans Food Group Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition ,Food manufacturing ,13.09.06,20.04.07,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/clifford-kent-holdings-deans-food-group
2004,ConvaTec Ltd / Acordis Speciality Fibres Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Healthcare and medical equipment,12.02.04,29.03.04,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/convatec-limited-acordis-speciality-fibres-limited
2005,Cott Beverages Ltd / Macaw (Holdings) Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Food manufacturing ,28.11.05,28.04.06,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/cott-macaw
2012,DCC / Rontec merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Oil and gas refining and petrochemicals,04.04.12,04.09.12,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/dcc-rontec-merger-inquiry
2012,Dods / DeHavilland merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Communications ,22.06.12,02.07.12,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/dods-dehavilland
2004,Domestic bulk liquefied petroleum gas market investigation (CC),Closed Competition Commission (CC) market investigation.,Markets,Markets - phase 2 adverse effect on competition leading to remedies,Oil and gas refining and petrochemicals,25.07.04,29.06.06,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/domestic-bulk-liquefied-petroleum-gas
2010,Dorf Ketal Chemicals / Johnson Matthey merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Chemicals ,19.11.10,08.12.10,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/dorf-ketal-chemicals-johnson-matthey-plc-merger-inquiry
2003,Dräger Medical AG / Air-Shieldsfrom Hillenbrand Industries Inc merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance with remedies,Healthcare and medical equipment,18.12.03,19.05.04,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/drager-medical-ag-co-kgaa-air-shields
2004,DS Smith plc / LINPAC Containers Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Paper printing and packaging,20.05.04 ,21.10.04,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/ds-smith-plc-linpac-containers-limited
2007,E.ON UK plc v GEMA energy code modification appeal ,Closed Competition Commission (CC) regulatory appeal investigation.,Regulatory references and appeals,Regulatory appeals and references - final determination,Utilities,30.04.07,,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/eon-uk-gema-energy-code-mod
2004,Emap plc / ABI Building Data Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition ,Communications ,01.07.04,26.01.05,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/emap-plc-abi-building-data-ltd
2012,Epwin Holdings Ltd / Latium Building Products Holdings Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Building and Construction,18.06.12,13.11.12,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/epwin-latium-merger
2006,EWS Railway Holdings Ltd / Marcroft Holdings Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition,Transport,06.02.06,12.09.06,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/ews-railway-holdings-marcroft-engineering-inquiry
2004,Firstgroup plc / InterCity East Coast Franchise merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Transport,21.12.04,11.04.05,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/firstgroup-plc-intercity-east-coast-franchise
2004,Firstgroup plc / Scotrail Franchise merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance with remedies,Transport,13.01.04,28.06.04,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/firstgroup-plc-scotrail
2005,Francisco Partners L.P. / G International Inc. merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Financial services,22.03.05,02.09.05,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/francisco-partners-lp-g-international-inc
2005,Future plc / Highbury House plc merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Communications ,14.04.05,27.04.05,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/future-plc-highbury-house-plc
2007,G4S Cash Services (UK) Ltd / Abbotshurst Group plc merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Distribution and service industries,18.05.07,04.06.07,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/g4s-cash-services-abbotshurst-group-security-plus
2007,GAME Group plc / Game Station Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Electronics industry,09.08.07,16.01.08,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/game-group-plc-game-station-limited
2010,Getty Image Inc. / Rex Features Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Communications ,08.07.10,21.07.10,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/getty-rex
2005,Greater Western Passenger Rail Franchise merger inquiries (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Transport,30.09.05,08.03.06,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/greater-western-passenger-rail-franchise
2007,Greif Inc / Blagden Packaging Group merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Paper printing and packaging,20.02.07,17.08.07,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/greif-inc-blagden-packaging-group
2006,Groceries market investigation (CC),Closed Competition Commission (CC) market investigation.,Markets,Markets - phase 2 adverse effect on competition leading to remedies,Retail and wholesale,09.05.06,30.04.08,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/groceries-market-investigation-and-remittal
2006,Hamsard 2786 Ltd / Academy Music Holdings Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition,Recreation and leisure,21.08.06,23.01.07,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/hamsard-2786-ltd-academy-music-holdings-ltd
2007,Heathrow Airport Ltd and Gatwick Airport Ltd price control review ,Closed Competition Commission (CC) regulatory reference investigation.,Regulatory references and appeals,Regulatory appeals and references - final determination,Transport,30.03.07,03.10.07,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/heathrow-and-gatwick-quinquennial-review
2005,HJ Heinz Company / HP Foods Group merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Food manufacturing ,26.10.05,24.03.06,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/hj-heinz-hp-foods-group
2005,HMV Group plc / Ottakar's plc merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Communications ,06.12.05,12.05.06,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/hmv-group-plc-waterstones-plc-ottakars-plc
2004,Home credit market investigation (CC),Closed Competition Commission (CC) market investigation.,Markets,Markets - phase 2 adverse effect on competition leading to remedies,Financial services,20.12.04,30.11.06,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/home-credit
2008,Hospedia Ltd / Premier Telesolutions Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Healthcare and medical equipment,07.10.08,30.10.08,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/hospedia-ltd-premier-telesolutions-limited
2013,Imerys / Goonvean merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance with remedies,"Mineral extraction, mining and quarrying",03.04.13,10.10.13,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/imerys-goonvean
2006,IPC Media Ltd / Horse Deals Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Communications ,16.08.06,30.08.06,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/ipc-media-ltd-horse-deals-ltd
2007,Kemira Growhow Oyj / Terra Industries Inc merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance with remedies,Chemicals ,26.01.07,11.07.07,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/kemira-growhow-oyj-and-terra-industries-inc
2011,Kent Messenger Ltd / Northcliffe Media Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Communications ,18.10.11,11.11.11,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/kent-messenger-northcliffe-media
2011,Kerry Foods Ltd / Headland Foods Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Food manufacturing ,12.07.11,02.12.11,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/kerry-foods-headland-foods
2007,Killarney Manufacturing Group Ltd / Balmoral Tanks merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Engineering,25.10.07,13.11.07,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/killarney-manufacturing-group-limited-balmoral-tanks
2004,Knauf Insulation Ltd / Superglass Insulation Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition,Building and Construction,17.06.04,26.11.04,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/knauf-insulation-limited-superglass-insulation-limited
2009,Leased lines charge control: telecommunications price control appeal ,Closed Competition Commission (CC) regulatory appeal investigation.,Regulatory references and appeals,Regulatory appeals and references - final determination,Telecommunications ,17.12.09,30.06.10,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/cable-and-wireless-ofcom
2008,Linde AG / Ineos Chlor Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition,Chemicals ,29.05.08,18.12.08,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/linde-ag-ineos-chlor-limited
2012,Linergy Ltd / Ulster Farm By-Products Ltd Proposed merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,"Agriculture, environment and natural resources",15.03.12,22.03.12,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/linergy-limited-ulster-farm-by-products-limited-proposed-merger-inquiry
2005,LINK Interchange Network Ltd / Transaction Network Services (UK) Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Financial services,27.01.05,18.02.05,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/link-interchange-network-limited-transaction-network-services-uk-limited
2010,Local bus services market investigation (CC),Closed Competition Commission (CC) market investigation.,Markets,Markets - phase 2 adverse effect on competition leading to remedies,Transport,07.01.10,20.12.11,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/local-bus-services-market-investigation
2009,Local loop unbundling: telecommunications price control appeal ,Closed Competition Commission (CC) regulatory appeal investigation.,Regulatory references and appeals,Regulatory appeals and references - final determination,Telecommunications ,27.11.09,30.09.10,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/carphone-warehouse-ofcom-llu
2005,London Stock Exchange plc / Deutsche Börse AG and Euronext N.V. merger inquiries (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance with remedies,Financial services,29.03.05,01.11.05,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/london-stock-exchange-plc
2008,"Long Clawson Dairy Ltd / The Millway, business of Dairy Crest Group plc merger inquiry (CC)",Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Food manufacturing ,08.10.08,14.01.09,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/long-clawson-dairy-limited-the-millway-business-of-dairy-crest-group-plc
2007,"MacDonald, Dettwiler and Associates Ltd / Quest Associates merger inquiry (CC)",Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Distribution and service industries,14.02.07,27.02.07,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/mda-quest-associates
2005,Macquarie Airports Ltd and Ferrovial Aeropuertos SA / Exeter and Devon Airports Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Aerospace,11.10.05,04.11.05,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/macquarie-airports-exeter-and-devon-airports
2007,Macquarie UK Broadcast Ventures / National Grid Wireless Group merger inquiry  (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance with remedies,Telecommunications ,08.08.07,11.03.08,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/macquarie-uk-broadcast-ventures-national-grid-wireless-group
2003,March UK Ltd / GUS plc merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Distribution and service industries,25.09.03,23.12.03,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/march-uk-ltd-gus-home-shopping
2011,MBL Holdings Ltd / TrigoldCrystal Group Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Electronics industry,17.03.11,31.03.11,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/mbl-holdings-trigoldcrystal-group
2012,McGill’s Bus Services Ltd / Arriva Scotland West Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Transport,18.04.12,21.09.12,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/mcgills-bus-services-limited-arriva-scotland-west-limited
2008,Mobile call termination: telecommunciations price control appeals (CC),Closed Competition Commission (CC) regulatory appeal investigation.,Regulatory references and appeals,Regulatory appeals and references - final determination,Telecommunications ,18.03.08,16.01.09,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/hutchison-3g-bt-ofcom
2010,Movies on pay TV market investigation (CC),Closed Competition Commission (CC) market investigation.,Markets,Markets - phase 2 clearance - no adverse effect on competition,Telecommunications ,04.08.10,02.08.12,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/movies-on-pay-tv-market-investigation
