Title,Summary,Case type,Market sector,Outcome type,Closed date,Archive URL,,
Sky Holdings Ltd / 365MediaGroup plc ,OFT closed case: Anticipated acquisition by Sky Holdings Limited (a wholly owned subsidiary of British Sky Broadcasting Group plc) of 365MediaGroup plc ,Mergers,Recreation and Leisure,Mergers - phase 1 found not to qualify,19-Jan-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Sky-Holdings,,
Derwent Valley Holdings plc / London Merchant Securities plc ,OFT closed case: Anticipated acquisition by Derwent Valley Holdings plc of London Merchant Securities plc ,Mergers,Distribution and Service Industries,Mergers - phase 1 found not to qualify,21-Dec-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/Derwent,,
"GE Fanuc Embedded Systems, Inc / Radstone Technology plc ","OFT closed case: Anticipated acquisition by GE Fanuc Embedded Systems, Inc of Radstone Technology plc ",Mergers,Electronics Industry,Mergers - phase 1 found not to qualify,25-Oct-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/gefanuc,,
University College London Hospitals NHS Foundation Trust / HCA International Ltd ,OFT closed case: Award of management contract to provide private in-patient bone marrow transplants and sarcoma cancer treatments at University College London Hospitals NHS Foundation Trust to HCA International Limited ,Mergers,Healthcare and medical equipment,Mergers - phase 1 found not to qualify,12-Oct-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/university,,
Rochester Medical Ltd / Mentor Medical Ltd ,OFT closed case: Completed acquisition by Rochester Medical Limited of the male external catheter assets of Mentor Medical Limited ,Mergers,Healthcare and medical equipment,Mergers - phase 1 found not to qualify,21-Sep-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/rochester,,
Eurotech S.p.A. / Radstone Technology plc ,OFT closed case: Anticipated acquisition by Eurotech S.p.A. of Radstone Technology plc,Mergers,Electronics Industry,Mergers - phase 1 found not to qualify,18-Sep-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/eurotech,,
Alberta Investment Management / Aqueduct Capital (UK) Ltd / Sutton & East Surrey Water Ltd ,"OFT closed case: Completed acquisition by Alberta Investment Management of a 12.5% shareholding in Aqueduct Capital (UK) Limited (including its wholly-owned subsidiary, Sutton & East Surrey Water Limited) ",Mergers,Utilities,Mergers - phase 1 found not to qualify,3-Sep-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/alberta,,
Caisse de Depots et Placements du Quebec / Aqueduct Capital (UK) Ltd / Sutton & East Surrey Water Ltd ,"OFT closed case: Completed acquisition by Caisse de Depots et Placements du Quebec of a 25.1% shareholding in Aqueduct Capital (UK) Limited (including its wholly-owned subsidiary, Sutton & East Surrey Water Limited) ",Mergers,Utilities,Mergers - phase 1 found not to qualify,31-Aug-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/caisse,,
Wilo AG / Circulating Pumps Ltd ,OFT closed case: Completed acquisition by Wilo AG of Circulating Pumps Limited,Mergers,Engineering,Mergers - phase 1 found not to qualify,15-Aug-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/wilo,,
Independent News & Media plc / Property News Ltd ,OFT closed case: Completed acquisition by Independent Property News & Media plc of Property News Ltd and the business of the publication called Property News ,Mergers,Distribution and Service Industries,Mergers - phase 1 found not to qualify,26-Jul-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/independent,,
