Title,Summary,Case type,Market sector,Outcome type,Closed date,Archive URL,,
Park Group plc / Home Farm Hampers Ltd ,OFT closed case: Completed acquisition by Park Group plc of Home Farm Hampers Limited ,Mergers,Financial services,Mergers - phase 1 clearance,23-Aug-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Park-Group,,
Arriva plc / Darlington local bus service business of Stagecoach Group plc ,OFT closed case: Anticipated acquisition by Arriva plc of the Darlington local bus service business of Stagecoach Group plc ,Mergers,Transport,Mergers - phase 1 clearance,22-Aug-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Arriva,,
Babcock International Group plc / Devonport Management Ltd ,OFT closed case: Completed acquisition by Babcock International Group plc of Devonport Management Limited ,Mergers,Defence,Mergers - phase 1 clearance,20-Aug-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Babcock,,
Tiscali UK Holdings Ltd / Pipex Communications plc ,OFT closed case: Anticipated acquisition by Tiscali UK Holdings Limited of the Broadband and Voice Division of Pipex Communications plc ,Mergers,Electronics Industry,Mergers - phase 1 clearance,17-Aug-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Tiscali,,
Altana AG / Wolstenholme Group Ltd ,OFT closed case: Anticipated acquisition by Altana AG of certain assets of Wolstenholme Group Ltd ,Mergers,Chemicals,Mergers - phase 1 clearance,16-Aug-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Altana,,
Macquarie Infrastructure Fund II / Macquarie Communications Infrastructure Group / Airwave Safety Communications Ltd ,OFT closed case: Completed acquisition by Macquarie Infrastructure Fund II and Macquarie Communications Infrastructure Group of Airwave Safety Communications Limited,Mergers,Communications,Mergers - phase 1 clearance,8-Aug-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Macquarie3,,
G Costa (Holdings) Ltd / Worldwing Investments Ltd ,"OFT closed case: Anticipated acquisition by G Costa (Holdings) Ltd, a subsidiary of Associated British Foods plc of Worldwing Investments Ltd, the holding company for the Patak Group ",Mergers,Retail and wholesale,Mergers - phase 1 clearance,6-Aug-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Gcosta,,
Tesco Holdings plc / Dobbies Garden Centres plc ,OFT closed case: Anticipated acquisition by Tesco Holdings plc of Dobbies Garden Centres plc ,Mergers,Retail and wholesale,Mergers - phase 1 clearance,3-Aug-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/tesco2,,
Menzies Distribution Ltd / Grays Newsagents (York) Ltd ,OFT closed case: Anticipated acquisition by Menzies Distribution Limited of Grays Newsagents (York) Limited ,Mergers,Retail and wholesale,Mergers - phase 1 clearance,3-Aug-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Menzies2,,
Caisse du dépôt et placement du Québec / Interconnector (UK) Ltd ,OFT closed case: Completed acquisition by Caisse du dépôt et placement du Québec of a 25 per cent stake in Interconnector (UK) Limited ,Mergers,Oil and Gas refining and Petrochemicals,Mergers - phase 1 clearance,31-Jul-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Caisse,,
IBA Health Ltd / iSOFT Group plc ,OFT closed case: Anticipated acquisition by IBA Health Limited of iSOFT Group plc ,Mergers,Electronics Industry,Mergers - phase 1 clearance,30-Jul-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/IBA,,
Speedy Hire / Hewden Stuart plc ,OFT closed case: Anticipated acquisition by Speedy Hire plc of the tool hire division of Hewden Stuart plc ,Mergers,Building and construction,Mergers - phase 1 clearance,25-Jul-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Speedy,,
Centenary Music Holdings Ltd / Sanctuary Group plc ,OFT closed case: Anticipated acquisition by Centenary Music Holdings Limited of the Sanctuary Group plc ,Mergers,Recreation and Leisure,Mergers - phase 1 clearance,20-Jul-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Centenary,,
"Websense, Inc / Surfcontrol plc ","OFT closed case: Anticipated acquisition by Websense, Inc of Surfcontrol plc ",Mergers,Electronics Industry,Mergers - phase 1 clearance,6-Jul-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Websense,,
Constellation Brands Incorporated / Punch Taverns plc ,"OFT closed case: Completed joint venture between Constellation Brands Incorporated and Punch Taverns plc relating to Matthew Clark Wholesale Limited, Forth Wines Limited and Wine Studio Limited ",Mergers,Retail and wholesale,Mergers - phase 1 clearance,5-Jul-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Constellation,,
Halliburton Manufacturing and Services Ltd / PSL Energy Services Ltd ,OFT closed case: Anticipated acquisition by Halliburton Manufacturing and Services Limited of PSL Energy Services Limited ,Mergers,Oil and Gas refining and Petrochemicals,Mergers - phase 1 clearance,3-Jul-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Halliburton,,
James Finlay Ltd / Flamingo Holdings Ltd ,OFT closed case: Anticipated acquisition by James Finlay Limited of Flamingo Holdings Limited ,Mergers,"Agriculture, environment and natural resources",Mergers - phase 1 clearance,29-Jun-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/James,,
Meggitt plc / K&F Industries Holdings Inc ,OFT closed case: Anticipated acquisition by Meggitt plc of K&F Industries Holdings Inc ,Mergers,Engineering,Mergers - phase 1 clearance,13-Jun-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Meggitt,,
Ainscough Crane Hire Ltd / Nationwide Crane Hire Ltd ,OFT closed case: Completed acquisition by Ainscough Crane Hire Limited of Nationwide Crane Hire Limited ,Mergers,Building and construction,Mergers - phase 1 clearance,12-Jun-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Ainscough,,
Mothercare plc / Chelsea Stores Holdings Ltd ,OFT closed case: Anticipated acquisition by Mothercare plc of Chelsea Stores Holdings Ltd ,Mergers,Retail and wholesale,Mergers - phase 1 clearance,11-Jun-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Mothercare,,
Freightliner Ltd / Inter-Modal Rail Port Terminals / Deutsche Post AG ,OFT closed case: Anticipated acquisition by Freightliner Limited of two inter-modal rail port terminals from Deutsche Post AG ,Mergers,Building and construction,Mergers - phase 1 clearance,8-Jun-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Freightliner,,
First Glasgow (No. 2) Ltd / Hutchison Coaches (Overtown) Ltd ,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2007/first-glasgow,Mergers,Transport,Mergers - phase 1 clearance,4-Jun-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/first-glasgow,,
Verint Systems Inc / Witness Systems Inc ,OFT closed case: Anticipated acquisition by Verint Systems Inc of Witness Systems Inc ,Mergers,Electronics Industry,Mergers - phase 1 clearance,23-May-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Verint,,
Taylor Woodrow / George Wimpey ,OFT closed case: Anticipated acquisition by Taylor Woodrow plc of George Wimpey plc ,Mergers,Building and construction,Mergers - phase 1 clearance,17-May-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Taylor,,
Ahlstrom Corporation / Orlandi SpA ,OFT closed case: Completed acquisition by Ahlstrom Corporation of the spunlace wipes business and assets of Orlandi SpA ,Mergers,Textiles,Mergers - phase 1 clearance,16-May-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Ahlstrom,,
BUPA Finance plc / Clinovia Group Ltd ,OFT closed case: Completed acquisition by BUPA Finance plc of Clinovia Group Limited ,Mergers,Healthcare and medical equipment,Mergers - phase 1 clearance,9-May-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/424865,,
Link Interchange Network Ltd / Voca Ltd ,OFT closed case: Anticipated merger between LINK Interchange Network Limited and Voca Limited ,Mergers,Financial services,Mergers - phase 1 clearance,3-May-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Link,,
Getinge AB / Huntleigh Technology plc ,OFT closed case: Completed acquisition by Getinge AB of Huntleigh Technology plc,Mergers,Healthcare and medical equipment,Mergers - phase 1 clearance,2-May-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Getinge2,,
Lancashire United Ltd / Blackburn Borough Transport Ltd ,OFT closed case: Completed acquisition by Lancashire United Limited of the business and assets of Blackburn Borough Transport Limited ,Mergers,Transport,Mergers - phase 1 clearance,18-Apr-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Lancashire,,
Johnston Press plc / Archant Ltd ,OFT closed case: Anticipated acquisition by Johnston Press plc of eight newspaper titles and assets from Archant Limited ,Mergers,Communications,Mergers - phase 1 clearance,17-Apr-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Johnston,,
FedEx Corporation / ANC Holdings Ltd ,OFT closed case: Completed acquisition by FedEx Corporation of ANC Holdings Limited,Mergers,Distribution and Service Industries,Mergers - phase 1 clearance,13-Apr-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/FedEx,,
Barratt Developments plc / Wilson Bowden plc ,OFT closed case: Anticipated acquisition by Barratt Developments plc of Wilson Bowden plc ,Mergers,Building and construction,Mergers - phase 1 clearance,13-Apr-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Barrett,,
Menzies Distribution Ltd / Eason and Son (NI) Ltd ,OFT closed case: Anticipated joint venture between Menzies Distribution Limited and Eason and Son (NI) Limited ,Mergers,Retail and wholesale,Mergers - phase 1 clearance,5-Apr-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Menzies,,
Dr Schar / Royal Numico ,OFT closed case: Completed acquisition by Dr Schär of the gluten free food product business of Royal Numico ,Mergers,Food manufacturing,Mergers - phase 1 clearance,27-Mar-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/drschar,,
Magicalia Publishing Ltd / Good Woodworking / Future Publishing Ltd ,OFT closed case: Anticipated acquisition by Magicalia Publishing Limited of Good Woodworking magazine from Future Publishing Limited ,Mergers,Paper printing and packaging,Mergers - phase 1 clearance,16-Mar-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Magicalia,,
Caparo Precision Tubes Ltd / Hayes Tubes Ltd ,OFT closed case: Anticipated acquisition by Caparo Precision Tubes Limited of Hayes Tubes Limited ,Mergers,Building and construction,Mergers - phase 1 clearance,15-Mar-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Caparo,,
BET UK Ltd / Target Express Holdings Ltd ,OFT closed case: Completed acquisition by BET UK Limited of Target Express Holdings Limited ,Mergers,Distribution and Service Industries,Mergers - phase 1 clearance,7-Mar-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/BET,,
Stagecoach Group plc / South Western Franchise ,OFT closed case: Completed acquisition by Stagecoach Group plc of the South Western Franchise ,Mergers,Transport,Mergers - phase 1 clearance,27-Feb-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Stagecoach,,
G's Marketing Ltd / Norman Olverson Ltd ,OFT closed case: Anticipated acquisition by G's Marketing Ltd of Norman Olverson Ltd ,Mergers,Food manufacturing,Mergers - phase 1 clearance,27-Feb-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/G-Marketing,,
Skanska Construction UK Ltd / McNicholas Holdings plc ,OFT closed case: Completed acquisition by Skanska Construction UK Ltd of McNicholas Holdings plc ,Mergers,Building and construction,Mergers - phase 1 clearance,23-Feb-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Skanska,,
Arqiva Ltd / British Telecommunications plc ,OFT closed case: Anticipated acquisition by Arqiva Limited of British Telecommunications plc’s satellite broadcast services business ,Mergers,Telecommunications,Mergers - phase 1 clearance,14-Feb-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Arqiva,,
Europcar UK Ltd / Vanguard Car Rental Emea Holdings Ltd ,OFT closed case: Anticipated acquisition by Europcar UK Limited of Vanguard Car Rental Emea Holdings Ltd ,Mergers,Motor Industry,Mergers - phase 1 clearance,12-Feb-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Europcar,,
Atlas Copco Italia S.P.A / ABAC Aria Compressa S.P.A ,OFT closed case: Anticipated acquisition by Atlas Copco Italia S.P.A of ABAC Aria Compressa S.P.A ,Mergers,Engineering,Mergers - phase 1 clearance,7-Feb-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/atlas,,
Compagnie Générale de Geophysique (CGG) / Veritas DGC Inc ,OFT closed case: Completed acquisition by Compagnie Générale de Geophysique (CGG) of Veritas DGC Inc ,Mergers,Oil and Gas refining and Petrochemicals,Mergers - phase 1 clearance,6-Feb-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Compagnie,,
Premier Foods plc / RHM plc ,OFT closed case: Anticipated acquisition by Premier Foods plc of RHM plc ,Mergers,Retail and wholesale,Mergers - phase 1 clearance,5-Feb-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Premier,,
Panavision Europe Ltd / AFM Group Ltd ,OFT closed case: Anticipated acquisition by Panavision Europe Limited of AFM Group Limited ,Mergers,Distribution and Service Industries,Mergers - phase 1 clearance,1-Feb-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Panavision,,
BT Group plc / PlusNet plc ,OFT closed case: Anticipated acquisition by BT Group plc of PlusNet plc ,Mergers,Telecommunications,Mergers - phase 1 clearance,23-Jan-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/BT,,
"Nasdaq Stock Market, Inc / London Stock Exchange Group plc ","OFT closed case: Anticipated acquisition by the Nasdaq Stock Market, Inc of London Stock Exchange Group plc ",Mergers,Financial services,Mergers - phase 1 clearance,18-Jan-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Nasdaq,,
Linpac Materials Handling Ltd / Allibert Buckhorn Group ,OFT closed case: Anticipated acquisition by Linpac Materials Handling Limited of the Allibert Buckhorn Group ,Mergers,Paper printing and packaging,Mergers - phase 1 clearance,17-Jan-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Linpac,,
KG Growers Ltd / S.A.T. Ltda Alconeras / Driscoll Strawberry Associates Inc ,"OFT closed case: Anticipated joint venture between KG Growers Limited, S.A.T. LTDA Alconeras and Driscoll Strawberry Associates Inc ",Mergers,"Agriculture, environment and natural resources",Mergers - phase 1 clearance,11-Jan-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/KG-Growers,,
First Milk Ltd / Dairy Crest Group plc ,OFT closed case: Completed acquisition by First Milk Ltd of the majority of the retailer branded cheese operations of Dairy Crest Group plc ,Mergers,Food manufacturing,Mergers - phase 1 clearance,22-Dec-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/First-Milk,,
Arcapita B.S.C. (C) / Viridian Group plc ,OFT closed case: Anticipated acquisition by Arcapita B.S.C.(C) of Viridian Group plc ,Mergers,Utilities,Mergers - phase 1 clearance,21-Dec-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/Arcapita,,
Woolworths Group plc / AMP Enterprises Ltd ,OFT closed case: Completed acquisition by Woolworths Group plc of AMP Enterprises Limited,Mergers,Retail and wholesale,Mergers - phase 1 clearance,15-Dec-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/Woolworths,,
Catlin Group Ltd / Wellington Underwriting plc ,OFT closed case: Anticipated acquisition by Catlin Group Ltd of Wellington Underwriting plc ,Mergers,Financial services,Mergers - phase 1 clearance,15-Dec-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/Catlin,,
Irish News Ltd / Farm Week / Johnston Press plc ,OFT closed case: Anticipated acquisition by Irish News Ltd of Farm Week assets from Johnston Press plc ,Mergers,Paper printing and packaging,Mergers - phase 1 clearance,14-Dec-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/Irish-News,,
Govia Ltd / North London Orbital Railway Ltd / London Rail Concession ,"OFT closed case: Anticipated acquisition by Govia Limited (through its wholly owned subsidiary, North London Orbital Railway Limited) of the London Rail Concession ",Mergers,Transport,Mergers - phase 1 clearance,13-Dec-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/Govia,,
MTRLaing Metro Ltd / London Rail Concession ,OFT closed case: Anticipated acquisition by MTRLaing Metro Limited of the London Rail Concession,Mergers,Transport,Mergers - phase 1 clearance,7-Dec-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/MTRLaing,,
Torex Retail plc / Retail-J Ltd ,OFT closed case: Completed acquisition by Torex Retail plc of Retail-J Limited ,Mergers,Electronics Industry,Mergers - phase 1 clearance,4-Dec-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/Torex-Retail,,
Brenntag UK Holding Ltd / Albion Group Ltd ,OFT closed case: Completed acquisition by Brenntag UK Holding Limited of Albion Group Limited ,Mergers,Chemicals,Mergers - phase 1 clearance,28-Nov-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/Brenntag,,
General Mills UK Ltd / Saxby Bros Ltd ,OFT closed case: Anticipated acquisition by General Mills UK Limited of Saxby Bros Limited ,Mergers,Food manufacturing,Mergers - phase 1 clearance,27-Nov-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/General-Mills,,
3M Company / Biotrace International plc ,OFT closed case: Anticipated acquisition by 3M Company of Biotrace International plc ,Mergers,Chemicals,Mergers - phase 1 clearance,27-Nov-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/3m,,
Bunzl Retail Supplies / Southern Syringe Services / Universal Hospital Supplies ,OFT closed case: Completed acquisition by Bunzl Retail Supplies Limited of Southern Syringe Services Limited and Universal Hospital Supplies ,Mergers,Healthcare and medical equipment,Mergers - phase 1 clearance,21-Nov-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/Bunzl,,
Nationwide Building Society / Portman Building Society ,OFT closed case: Proposed merger of Nationwide Building Society with Portman Building Society,Mergers,Financial services,Mergers - phase 1 clearance,21-Nov-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/nationwide,,
Croda / Uniqema ,"OFT closed case: Completed acquisition of UniQEma, a business division of Imperial Chemical Industries plc, by Croda International plc",Mergers,Chemicals,Mergers - phase 1 clearance,10-Nov-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/Croda,,
UniQEma / Imperial Chemical Industries plc / Croda International plc ,"OFT closed case: Completed acquisition of UniQEma, a business division of Imperial Chemical Industries plc, by Croda International plc ",Mergers,Chemicals,Mergers - phase 1 clearance,10-Nov-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/uniqema,,
Celanese Corporation / Acetate Products Ltd ,"OFT closed case: Anticipated acquisition of the cellulose acetate flake, tow and filament business of Acetate Products Limited by Celanese Corporation ",Mergers,Chemicals,Mergers - phase 1 clearance,8-Nov-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/acetate,,
Keystone Lintels Ltd / Expamet Building Products Group ,OFT closed case: Completed acquisition by Keystone Lintels Limited of the IG Lintels business of the Expamet Building Products Group ,Mergers,Building and construction,Mergers - phase 1 clearance,7-Nov-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/keystone,,
Schneider Electric (UK) Ltd / GET Group plc ,OFT closed case: Anticipated acquisition by Schneider Electric (UK) Ltd of GET Group plc,Mergers,Utilities,Mergers - phase 1 clearance,2-Nov-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/schneider,,
Lindab AB / CCL Veloduct Ltd ,OFT closed case: Anticipated acquisition by Lindab AB of CCL Veloduct Limited ,Mergers,Engineering,Mergers - phase 1 clearance,31-Oct-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/lindab,,
RD Card Ltd / Retail Decisions plc ,OFT closed case: Anticipated acquisition by RD Card Ltd of Retail Decisions plc ,Mergers,Financial services,Mergers - phase 1 clearance,26-Oct-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/rdcard,,
Dairy Crest Group plc / Arla Foods UK plc ,OFT closed case: Completed acquisition by Dairy Crest Group plc of certain assets of Arla Foods UK plc ,Mergers,Food manufacturing,Mergers - phase 1 clearance,25-Oct-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/dairycrest,,
Capita Financial Group Ltd / Sinclair Henderson companies ,OFT closed case: Completed acquisition by Capita Financial Group Limited of the Sinclair Henderson Companies ,Mergers,Financial services,Mergers - phase 1 clearance,23-Oct-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/capita,,
O2 UK Ltd / Link Stores Ltd ,OFT closed case: Completed acquisition by O2 UK Limited of the Link Stores Limited ,Mergers,Telecommunications,Mergers - phase 1 clearance,19-Oct-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/o2,,
Virgin Active Group Ltd / Holmes Place Health Clubs Ltd ,OFT closed case: Anticipated acquisition by Virgin Active Group Limited of Holmes Place Health Clubs Limited ,Mergers,Recreation and Leisure,Mergers - phase 1 clearance,18-Oct-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/virgin,,
AlphaGary Ltd / Megolon / Scapa UK Ltd ,OFT closed case: Anticipated acquisition by AlphaGary Limited of the Megolon business of Scapa UK Limited ,Mergers,Engineering,Mergers - phase 1 clearance,10-Oct-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/alphagary,,
NYSE / Euronext ,"OFT closed case: Anticipated merger between NYSE Group, Inc. and Euronext N.V. ",Mergers,Financial services,Mergers - phase 1 clearance,8-Oct-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/nyse,,
Day International (UK) Holdings / Duco Holdings Ltd ,OFT closed case: Anticipated acquisition by Day International (UK) Holdings of Duco Holdings Limited ,Mergers,Paper printing and packaging,Mergers - phase 1 clearance,4-Oct-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/day,,
Harrah's Entertainment Inc / London Clubs International plc ,OFT closed case: Anticipated acquisition by Harrah's Entertainment Inc of London Clubs International plc ,Mergers,Recreation and Leisure,Mergers - phase 1 clearance,1-Oct-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/harrah,,
Mosaic Fashions hf / Rubicon Retail Ltd ,OFT closed case: Anticipated acquisition by Mosaic Fashions hf of Rubicon Retail Limited,Mergers,"Clothing, footwear and fashion",Mergers - phase 1 clearance,25-Sep-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/mosaic,,
Balfour Beatty plc / Birse Group plc ,OFT closed case: Anticipated acquisition by Balfour Beatty plc of Birse Group plc,Mergers,Building and construction,Mergers - phase 1 clearance,31-Aug-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/balfour2,,
ABF Holdings Ltd / Primary Diets Ltd ,OFT closed case: Completed acquisition by ABF Holdings Limited of Primary Diets Limited ,Mergers,"Agriculture, environment and natural resources",Mergers - phase 1 clearance,29-Aug-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/abf,,
