Title,Summary,Case type,Market sector,Outcome type,Closed date,Archive URL
Nakano / Premier Foods Group Ltd ,,Mergers,Food manufacturing,Mergers - phase 1 clearance with undertakings in lieu,2/26/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/Nakano
Experian / Garlik Ltd ,,Mergers,Distribution and service industries,Mergers - phase 1 found not to qualify  ,2/28/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/experian-garlik
Linergy / Ulster Farm By-Products Ltd ,,Mergers,"Agriculture, environment and natural resources",Mergers - phase 1 referral,3/15/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/linergy
JCDecaux UK / Concourse Initiatives Ltd and Media Initiatives Ltd ,,Mergers,Communications,Mergers - phase 1 clearance,3/19/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/jcdecaux
MediaCom North / Brilliant Media ,,Mergers,Communications,Mergers - phase 1 clearance,3/21/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/mediacom
Aldersgate Investments Ltd / Arena Leisure plc,,Mergers,Recreation and Leisure,Mergers - phase 1 clearance,3/26/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/Aldersgate
"Fossil, Inc / Skagen Designs ",,Mergers,"Giftware, jewellery and tableware",Mergers - phase 1 clearance,3/28/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/FossilInc
Johnson Apparelmaster Ltd / Cannon Textile Care Business,,Mergers,"Clothing, footwear and fashion",Mergers - phase 1 clearance,3/29/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/JohnsonApparelmaster
Simplyhealth Group Ltd / Denplan Ltd ,,Mergers,Healthcare and medical equipment,Mergers - phase 1 clearance,3/29/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/simply-health
Travis Perkins / Toolstation ,,Mergers,Building and construction,Mergers - phase 1 found not to qualify  ,3/29/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/TravisPerkins
Tarmac Group / MCG Enterprises Ltd ,,Mergers,Building and construction,Mergers - phase 1 clearance,4/3/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/tarmac
Velti plc / Mobile Interactive Group (MIG) ,,Mergers,Telecommunications,Mergers - phase 1 found not to qualify  ,4/3/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/velti
DCC Energy/Total Downstream UK plc ,,Mergers,Oil and Gas refining and Petrochemicals,Mergers - phase 1 referral,4/4/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/dcc
Co-operative Group/David Sands,,Mergers,Retail and wholesale,Mergers - phase 1 clearance,4/16/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/coop-davidsands
Digital Property Group/Zoopla,,Mergers,Telecommunications,Mergers - phase 1 clearance,4/16/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/digital
Jewson / Build Center ,,Mergers,Building and construction,Mergers - phase 1 clearance with undertakings in lieu,4/17/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/jewson-apu
McGill's Bus Service/ Arriva Scotland West Ltd ,,Mergers,Transport,Mergers - phase 1 referral,4/18/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/mcgill
GB Oils / Seletar Services ,,Mergers,Engineering,Mergers - phase 1 found not to qualify  ,4/19/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/gb-oils
Carlyle Group/Palamon Capital/Integrated Dental Holdings Group and Associated Dental Practices,,Mergers,Healthcare and medical equipment,Mergers - phase 1 clearance with undertakings in lieu,4/26/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/carlyle-palamon
Assa Abloy / Securistyle Ltd ,,Mergers,"Household goods, furniture and furnishings",Mergers - phase 1 clearance,5/2/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/assa-abloy
