Title,Summary,Case type,Market sector,Outcome type,Closed date,Archive URL
Arlingclose / Sterling Consultancy Services,,Mergers,Distribution and service industries,Mergers - phase 1 clearance,2/1/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/arlingclose
Barclays Bank plc / ING Direct NV,,Mergers,Financial services,Mergers - phase 1 clearance,2/5/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/barclays
A.G. BARR / Britivic plc,,Mergers,Retail and wholesale,Mergers - phase 1 referral,2/13/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/ag-barr
QEP Co UK  / Homelux Ltd ,,Mergers,building and construction,Mergers - phase 1 found not to qualify  ,2/13/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/qep
University College London Hospitals /Royal Free London NHS Foundation Trust,,Mergers,Healthcare and medical equipment,Mergers - phase 1 clearance,2/21/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/ucl-hospitals
Capita plc / Medicare First Ltd ,,Mergers,Distribution and service industries,Mergers - phase 1 found not to qualify  ,2/22/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/Capita
Stagecoach plc / First Manchester Ltd,,Mergers,Transport,Mergers - phase 1 clearance,2/25/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/stagecoach
"Ecolab / Permian Mud Service, Inc",,Mergers,Utilities,Mergers - phase 1 clearance,2/26/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/ecolab
Nakano / Premier Foods Group Ltd ,,Mergers,Retail and wholesale,Mergers - phase 1 clearance with undertakings in lieu,2/26/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/Nakano
Greater Manchester Buses / Stagecoach plc (Bluebird Bus & Coach),,Mergers,Transport,Mergers - phase 1 clearance,2/27/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/greater-manchester-buses
IntercontinentalExchange / APX-ENDEX Holding B.V. ,,Mergers,Energy,Mergers - phase 1 clearance,2/28/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/intercontinental-exchange
"Expedia, Inc. / Trivago GmbH ",,Mergers,Telecommunications,Mergers - phase 1 found not to qualify  ,3/7/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/Expedia
Avis Budget Group,,Mergers,Transport,Mergers - phase 1 found not to qualify  ,3/8/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/avis
Care UK Group / HWH Group Ltd ,,Mergers,Healthcare and medical equipment,Mergers - phase 1 clearance,3/8/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/care-uk
GuestLogix Inc / Initium Onboard (BOM Merchant Technologies Ltd) ,,Mergers,Telecommunications,Mergers - phase 1 found not to qualify  ,3/22/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/GuestLogix
Francisco / Kewill plc,,Mergers,Communications,Mergers - phase 1 clearance,3/27/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/francisco
Thomson Reuters / Practical Law Group Ltd,,Mergers,Paper printing and packaging,Mergers - phase 1 clearance,3/28/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/ThomsonReuters
Northstone / RMC Catherwood Ltd ,,Mergers,Building and construction,Mergers - phase 1 clearance,4/3/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/northstone
Glenvale Transport Ltd /FirstGroup plc,,Mergers,Transport,Mergers - phase 1 clearance,4/11/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/Glenvale
Chargemaster plc / Elektromotive Ltd ,,Mergers,Electronics Industry,Mergers - phase 1 clearance,4/18/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/chargemaster
AEG Facilities (UK) Ltd / Wembley Arena,,Mergers,Recreation and Leisure,Mergers - phase 1 clearance with undertakings in lieu,4/22/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/AEG
Cineworld Group / City Screen Ltd,,Mergers,Distribution and service industries,Mergers - phase 1 referral,4/30/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/Cineworld
Coca-Cola / Fresh Trading Ltd ,,Mergers,Retail and wholesale,Mergers - phase 1 clearance,5/1/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/Coca-Cola
Priceline.com / Kayak Software Corporation,,Mergers,Transport,Mergers - phase 1 clearance,5/9/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/priceline
Imerys Minerals / Goonvean Ltd ,,Mergers,"Mineral extraction, mining and quarrying",Mergers - phase 1 clearance,5/13/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/imerys-minerals
HPI Ltd / CarweB Ltd ,,Mergers,Transport,Mergers - phase 1 clearance,5/14/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/hpi-Ltd
Skanska Construction UK/Atkins Ltd ,,Mergers,Building and construction,Mergers - phase 1 clearance,5/16/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/skanska
Costain / May Gurney Integrated Services plc ,,Mergers,building and construction,Mergers - phase 1 found not to qualify  ,5/31/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/Costain
Kier Group plc / May Gurney Integrated Services plc ,,Mergers,Utilities,Mergers - phase 1 clearance,6/4/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/kier-group
Global Energy Group (Isleburn) /Dorchester Gardens 948 Ltd,,Mergers,Energy,Mergers - phase 1 found not to qualify  ,6/11/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/global-energy
Cott Developments / Cooke Bros Holding Ltd ,,Mergers,Retail and wholesale,Mergers - phase 1 clearance,6/12/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/cott
BlackRock / Credit Suisse ,,Mergers,Financial services,Mergers - phase 1 clearance,6/13/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/blackrock
Boparan Holdings / Vion Poultry Ltd ,,Mergers,Food manufacturing,Mergers - phase 1 clearance,6/18/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/boparan
Capita Holdings / Medicare First Ltd ,,Mergers,Distribution and service industries,Mergers - phase 1 found not to qualify  ,6/19/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/capita
Local World,,Mergers,Communications,Mergers - phase 1 clearance,6/28/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/LocalWorld
R&R Ice Cream plc / Fredericks Dairies Ltd ,,Mergers,Food manufacturing,Mergers - phase 1 clearance,7/1/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/rr-icecream
British Sky Broadcasting / Be Ltd,,Mergers,Communications,Mergers - phase 1 clearance,7/5/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/bskyb
BT / ESPN Global Ltd ,,Mergers,Communications,Mergers - phase 1 clearance,7/5/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/BT
Turbomeca / Rolls-Royce Turbomeca Ltd,,Mergers,Engineering,Mergers - phase 1 found not to qualify  ,7/18/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/Turbomeca
Extra MSA Group /Serena Properties Ltd ,,Mergers,Distribution and service industries,Mergers - phase 1 found not to qualify  ,7/25/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/extra-msa
Optimax / Ultralase Ltd ,,Mergers,Healthcare and medical equipment,Mergers - phase 1 referral,7/29/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/optimax
Airport Partners / EYE Corp (UK) Ltd ,,Mergers,Transport,Mergers - phase 1 found not to qualify  ,8/1/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/airport-partners
Web Reservations International / Hostelbookers.com Ltd ,,Mergers,Distribution and service industries,Mergers - phase 1 clearance,8/2/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/web-reservations
DFDS A/S - NTEX AB - North Sea RoRo AB,,Mergers,Transport,Mergers - phase 1 clearance,8/8/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/dfds
Exponent / Tax Free Worldwide UK Ltd ,,Mergers,retail and wholesale,Mergers - phase 1 clearance,8/13/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/exponent
Costcutter Supermarkets Group /Palmer & Harvey McLane Ltd ,,Mergers,Retail and wholesale,Mergers - phase 1 clearance,8/21/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/costcutter
Diamond Bus Company / FirstGroup plc,,Mergers,Transport,Mergers - phase 1 clearance,8/23/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/shared_oft/mergers_ea02/2013/Diamond_Bus.pdf
Ericsson  / Creative Broadcast Services Holdings ,,Mergers,Recreation and Leisure,Mergers - phase 1 referral,9/3/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/ericsson
JCT600 / Gilder Group,,Mergers,Transport,Mergers - phase 1 clearance,9/6/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/JCT600
One Stop Ltd / Alfred Jones (Warrington) Ltd ,,Mergers,Retail and wholesale,Mergers - phase 1 clearance,9/18/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/one-stop
Breedon Aggregates Scotland Ltd / Aggregate Industries UK Ltd,,Mergers,Building and construction,Mergers - phase 1 referral,9/24/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/breedon
Midcounties / Co-operative ,,Mergers,Retail and wholesale,Mergers - phase 1 clearance with undertakings in lieu,10/16/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/midcounties
ABN Amro / EMCF / EuroCCP,,Mergers,Financial services,Mergers - phase 1 clearance,10/21/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/ABNAmro
Arriva Midlands North / Liyell Ltd ,,Mergers,Transport,Mergers - phase 1 clearance,10/21/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/arriva-midlands-north
Tradebe Environmental Services / Sita UK Ltd – Tradebe Healthcare ,,Mergers,Healthcare and medical equipment,Mergers - phase 1 referral,10/29/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/tradebe
Hargreaves / Scottish Coal Company Ltd ,,Mergers,Energy,Mergers - phase 1 clearance,10/30/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/Hargreaves
Cabot Corporation /  Nhumo,,Mergers,Chemicals,Mergers - phase 1 clearance,11/5/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/cabot
Egbert Taylor Group / Sellers Containers Ltd,,Mergers,Utilities,Mergers - phase 1 clearance,11/7/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/egbert
UCL/RFL/Doctors Laboratory,,Mergers,Healthcare and medical equipment,Mergers - phase 1 clearance,11/8/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/ucl-rfl-doctors
Motorola Mobility Holding  /Waze Mobile Ltd,,Mergers,Telecommunications,Mergers - phase 1 clearance,11/11/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/MMH
Diageo plc / United Spirits Ltd,,Mergers,Retail and wholesale,Mergers - phase 1 clearance with undertakings in lieu,11/25/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/diageo
Cineworld Group plc / Glasgow Science Centre IMAX,,Mergers,Distribution and service industries,Mergers - phase 1 clearance,12/6/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2013/CineworldGroupGlasgow
Lookers Group plc / Shields Land Rover,,Mergers,Transport,Mergers - phase 1 clearance,12/9/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/lookers
Information Resources / Aztec Group,,Mergers,Public markets,Mergers - phase 1 clearance,12/13/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/Informationservices
Telecom Plus plc / Npower,,Mergers,Utilities,Mergers - phase 1 clearance,12/16/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/telecomplus
Bauer Radio Ltd / TIML Golden Square Ltd,,Mergers,Communications,Mergers - phase 1 clearance,12/20/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2013/bauer
Associated British Foods plc / GB Plange Ltd,,Mergers,Retail and wholesale,Mergers - phase 1 clearance,1/6/14,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2014/abi
Landmark Information Group / Decision Insight Information Group (Europe) ,,Mergers,Building and construction,Mergers - phase 1 clearance,1/24/14,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2014/landmark
Transitions Optical Ltd / Essilor International ,,Mergers,Healthcare and medical equipment,Mergers - phase 1 found not to qualify  ,1/27/14,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2014/Transitionsoptical
Rentokil Initial (UK)  / Green Compliance plc,,Mergers,Chemicals,Mergers - phase 1 found not to qualify  ,1/29/14,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2014/Rentokil_Initial
Adams Foods Ltd / First Milk Ltd  ,,Mergers,Retail and wholesale,Mergers - phase 1 clearance,2/3/14,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2014/adams
Mueller Industries Inc / KME Yorkshire Ltd (Yorkshire Copper Tube) ,,Mergers,Retail and wholesale,Mergers - phase 1 clearance,2/11/14,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2014/Mueller
First Manchester Ltd / Finglands Coachways Ltd ,,Mergers,Transport,Mergers - phase 1 clearance,2/14/14,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2014/first-manchester
European Metal Recycling Ltd / SITA Metal Recycling Ltd ,,Mergers,Utilities,Mergers - phase 1 clearance,3/7/14,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2014/european-metal
IP Group plc / Fusion IP plc ,,Mergers,Financial services,,3/25/14,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2014/ip-group
