Title,Case type,Market sector,Outcome type,Closed date,Archive URL
2 Sisters / Storteboom Group,Mergers,Food manufacturing,Mergers - phase 1 clearance,6/28/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2010/2-sisters
AB Agri Ltd / Uffculme Feed Mill,Mergers,"Agriculture, environment and nattural resources",Mergers - phase 1 clearance,9/1/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2011/ab-agri
Acergy / Subsea 7,Mergers,Oil and Gas refining and Petrochemicals,Mergers - phase 1 clearance with undertakings in lieu,12/21/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2011/acergy
Aditya / Columbian Chemicals Acquisition LLC,Mergers,Chemicals,Mergers - phase 1 referral,3/28/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2011/Aditya
Advent /  Priory Investments Holdings Ltd ,Mergers,Distribution and Service Industries,Mergers - phase 1 clearance,4/19/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2011/advent
AES Ballylumford / Premier Power Limited ,Mergers,Energy,Mergers - phase 1 clearance,11/24/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2010/aes-ballyumford
Aggregate / Atlantic Aggregates / Stone Haul,Mergers,"Mineral extraction, mining and quarrying",Mergers - phase 1 clearance with undertakings in lieu,3/2/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2010/Aggregate
Alpha Flight Group / LSG Lufthansa Service Holding AG ,Mergers,Distribution and Service Industries,Mergers - phase 1 referral,10/10/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2011/alpha
"Amazon.com, Inc / The Book Depository International Ltd",Mergers,Retail and wholesale,Mergers - phase 1 clearance,10/26/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2011/amazon
Ambassador / Live Nation (Venues) UK ,Mergers,Recreation and Leisure,Mergers - phase 1 clearance,2/10/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2010/ambassador
Anglo American / Lafarge S.A. ,Mergers,Building and construction,Mergers - phase 1 referral,9/2/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2011/anglo-american
AP Møller-Maersk / DFDS A/S,Mergers,Distribution and Service Industries,Mergers - phase 1 clearance,7/19/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2010/ap-moller-maersk
Arriva Northumbria / Go North East Ltd,Mergers,Transport,Mergers - phase 1 clearance,2/11/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2010/arriva
Asda,Mergers,Retail and wholesale,Mergers - phase 1 clearance with undertakings in lieu,9/23/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2011/Asda
"Asda / Co-operative (Benwell, Tottenham, Maestag and Newquay)",Mergers,Retail and wholesale,Mergers - phase 1 clearance,1/11/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2011/asda-co-operative
Asda / Co-operative (Harwich),Mergers,Retail and wholesale,Mergers - phase 1 found not to qualify,11/2/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2010/asda-harwich
Asda / Co-operative (Kettering),Mergers,Retail and wholesale,Mergers - phase 1 found not to qualify,6/10/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2010/asda2
"Asda, East of England",Mergers,Retail and wholesale,Mergers - phase 1 found not to qualify,9/26/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2011/asda-east-england
"Asda, Kings Lynn / Anglia ",Mergers,Retail and wholesale,Mergers - phase 1 found not to qualify,5/17/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2011/Asda_KingsLynn
Assa Abloy / Agta Record AG ,Mergers,"Household goods, furniture and furnishings",Mergers - phase 1 clearance,2/4/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2011/assa-abloy
