Title,Summary,Case type,Outcome,New CMA market sector,Closed date,Archive URL,,,,,
Dr. Oetker (UK) Limited / Schwan's Consumer Brands (UK) Limited,,Mergers,Mergers - phase 1 clearance,Food manufacturing,5/5/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/oetker,,,,,
Durrants / Cision,,Mergers,Mergers - phase 1 clearance,Communications,9/18/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Durrants,,,,,
Elster Group GMBH / Severn Trent Metering Services Limited,,Mergers,Mergers - phase 1 clearance,Utilities,4/29/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/elster,,,,,
Essilor / Horizon Optical,,Mergers,Mergers - phase 1 clearance,Healthcare and medical equipment,11/5/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Essilor1,,,,,
Essilor International (Compagnie Generale d'Optique)/SA of Signet Armorlite Inc,,Mergers,Mergers - phase 1 clearance,Healthcare and medical equipment,3/11/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/essilor,,,,,
Essilor International / Wholesale Lens Corporation,,Mergers,Mergers - phase 1 clearance,Healthcare and medical equipment,7/27/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Essilor,,,,,
Fergusson Group Limited / Lochmaben Coal Company,,Mergers,Mergers - phase 1 found not to qualify,"Mineral extraction, mining ang quarrying",2/20/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/fergusson,,,,,
GlaxoSmithKline plc / Pfizer Inc,,Mergers,Mergers - phase 1 clearance,Pharmaceuticals,7/9/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/GlaxoSmithKline,,,,,
Go North East / Arriva Northumbria,,Mergers,Mergers - phase 1 clearance,Transport,2/11/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/GNE,,,,,
Go-Ahead / Arriva (Horsham),,Mergers,Mergers - phase 1 clearance,Transport,11/16/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Go-Ahead,,,,,
Govia / South Central Passenger Rail Franchise,,Mergers,Mergers - phase 1 clearance,Transport,8/6/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Govia,,,,,
HMV / Zavvi,,Mergers,Mergers - phase 1 clearance,Retail and wholesale,4/28/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/hmv,,,,,
Infinis Energy / Novera Energy,,Mergers,Mergers - phase 1 clearance,Energy,11/19/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Infinis,,,,,
J Sainsbury / Co-op,,Mergers,Mergers - phase 1 clearance,Retail and wholesale,11/9/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Jsainsbury,,,,,
J Sainsbury plc / Somerfield,,Mergers,Mergers - phase 1 found not to qualify,Retail and wholesale,5/20/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/sainsbury,,,,,
