Title,Summary,Outcome type,Market sector,Closed date,Archive URL,,
CRA International (UK) Ltd / Competition & Litigation Ltd ,OFT closed case: Completed acquisition by CRA International (UK) Ltd of Economics of Competition & Litigation Ltd ,Mergers - phase 1 found not to qualify,Financial services ,31-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/cra,,
Cadbury Schweppes plc / Green & Black's Ltd ,OFT closed case: Completed acquisition by Cadbury Schweppes plc of Green & Black's Ltd ,Mergers - Phase 1 Clearance ,Food manufacturing,30-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/cadbury,,
Teddington Studios Ltd / Pinewood Shepperton plc ,OFT closed case: Completed acquisition of Teddington Studios Ltd by Pinewood Shepperton plc,Mergers - Phase 1 Clearance ,Telecommunications,25-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/teddington,,
Transdev plc / Bournemouth Transport plc ,OFT closed case: Anticipated acquisition by Transdev plc of Bournemouth Transport plc ,Mergers - phase 1 found not to qualify,Transport,25-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/transdev,,
Johnston Press plc / Score Press Ltd ,OFT closed case: Completed acquisition by Johnston Press plc of Score Press Ltd ,Mergers - phase 1 found not to qualify,Communications ,24-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/johnston,,
Enfield Energy Centre Ltd / E.ON UK plc ,OFT closed case: Completed acquisition of Enfield Energy Centre Ltd by E.ON UK plc ,Mergers - Phase 1 Clearance ,Energy,23-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/enfield,,
SBC Communications Inc / AT&T Corporation ,"OFT closed case: Anticipated acquisition by SBC Communications, Inc. of AT&T Corporation",Mergers - Phase 1 Clearance ,Telecommunications,22-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/sbc,,
Torex Retail plc / Anker plc / XN Checkout Holdings plc ,OFT closed case: Proposed acquisition by Torex Retail plc of Anker plc and XN Checkout Holdings plc ,Mergers - phase 1 found not to qualify,Electronics Industry ,22-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/torex,,
Greene King plc / TD Ridley & Sons ,OFT closed case: Completed acquisition by Greene King plc of TD Ridley & Sons,Mergers - phase 1 found not to qualify,Recreation and Leisure,21-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/greene,,
Netto Foodstores Ltd / Wm Morrison Supermarkets plc ,OFT closed case: Anticipated acquisition by Netto Foodstores Ltd of a divestment store at Bolton from Wm Morrison Supermarkets plc ,Mergers - phase 1 found not to qualify,Retail and wholesale ,21-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/netto,,
Somerfield plc / Wm Morrison Supermarkets plc ,OFT closed case: Anticipated acquisition Somerfield plc of two stores from Wm Morrison Supermarkets plc ,Mergers - phase 1 found not to qualify,Retail and wholesale ,21-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/somerfield2,,
Tesco plc / Wm Morrison Supermarkets plc ,OFT closed case: Anticipated acquisition by Tesco plc of a former Safeway site at Coulby Newham from Wm Morrison Supermarkets plc ,Mergers - phase 1 found not to qualify,Retail and wholesale ,21-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/tesco2,,
United Co-Operatives Ltd / Wm Morrison Supermarkets plc ,"OFT closed case: Anticipated acquisition by United Co-Operatives Ltd of a divestment store at Saltney, Chester from Wm Morrison Supermarkets plc ",Mergers - phase 1 found not to qualify,Retail and wholesale ,21-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/united-cooperatives,,
Agrolinz Melamine International GMBH / Eurotecnica ,OFT closed case: Anticipated acquisition by Agrolinz Melamine International GMBH of Eurotecnica,Mergers - phase 1 found not to qualify,Chemicals ,18-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/agrolinz,,
EnerSys Inc / FIAMM SpA ,OFT closed case: Completed acquisition by EnerSys Inc of the motive power business of FIAMM SpA ,Mergers - Phase 1 Clearance ,Electronics Industry ,18-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/enersys,,
United Business Media plc / Mondiale Publishing Ltd ,OFT closed case: Anticipated acquisition by United Business Media plc of the hospitality division of Mondiale Publishing Ltd ,Mergers - Phase 1 Clearance ,Communications ,18-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/united-business,,
Dairy Crest Group plc / Starcross Foods Ltd ,OFT closed case: Completed acquisition by Dairy Crest Group plc of Starcross Foods Ltd ,Mergers - phase 1 found not to qualify,Food manufacturing,17-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/dairycrest,,
ITV plc / SDN Ltd ,OFT closed case: Completed acquisition by ITV plc of SDN Ltd ,Mergers - Phase 1 Clearance ,Telecommunications,14-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/itv,,
"LBO France Gestion, S.A.S / Actaris Metering Systems II S.A. / Actaris Metering Systems, S.A. ","OFT closed case: Completed acquisition by LBO France Gestion, S.A.S, through its vehicle company Actaris Metering Systems II S.A., of the exclusive control of twelve companies, directly controlled by Actaris Metering Systems, S.A. ",Mergers - phase 1 found not to qualify,Electronics Industry ,14-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/lbo,,
"Dubai International Capital, LLC / The Tussauds Group Ltd ","OFT closed case: Completed acquisition by Dubai International Capital, LLC of The Tussauds Group Ltd",Mergers - Phase 1 Clearance ,Recreation and Leisure,11-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/dubai,,
Dupont / Part of Rhodia's Refrigerant Fluorcarbon Business ,OFT closed case: Proposed acquisition by Dupont of a part of Rhodia's refrigerant fluorcarbon business,Mergers - phase 1 found not to qualify,Chemicals ,11-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/dupont,,
Peel Ports Ltd / Mersey Docks and Harbour Company... ,OFT closed case: Anticipated acquisition by Peel Ports Ltd of the Mersey Docks and Harbour Company,Mergers - Phase 1 Clearance ,Transport,11-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/peel,,
Diageo plc / Old Bushmills Distillery Company Ltd ,OFT closed case: Anticipated acquisition by Diageo plc of the 'Old Bushmills' Distillery Company Ltd,Mergers - Phase 1 Clearance ,Food manufacturing,10-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/diageo,,
Associated British Foods plc / Littlewoods stores ,OFT closed case: Completed acquisition by Associated British Foods plc of Littlewoods stores ,Mergers - Phase 1 Clearance ,Retail and wholesale ,9-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/associated-british,,
Britannic Group plc / Resolution Life Group Ltd ,OFT closed case: Anticipated acquisition by Britannic Group plc of Resolution Life Group Ltd,Mergers - Phase 1 Clearance ,Financial services ,9-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/britannic2,,
Premier Foods plc / Marlow Food Holdings ,OFT closed case: Completed acquisition by Premier Foods plc of Marlow Foods Holdings Ltd ,Mergers - phase 1 found not to qualify,Food manufacturing,9-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/premier-foods2,,
Emap plc / Scottish Radio Holdings ,OFT closed case: Anticipated acquisition by Emap plc of the remaining shares of Scottish Radio Holdings,Mergers - Phase 1 Clearance ,Communications ,7-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/emap,,
House of Fraser plc / James Beattie plc ,OFT closed case: Anticipated acquisition by House of Fraser plc of James Beattie plc ,Mergers - Phase 1 Clearance ,Retail and wholesale ,7-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/houseoffraser,,
Red Football Ltd / Manchester United plc ,OFT closed case: Completed acquisition by Red Football Ltd of Manchester United plc ,Mergers - Phase 1 Clearance ,Recreation and Leisure,4-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/red-football,,
National Express Group plc / Thameslink/Great Northern passenger rail franchise ,OFT closed case: Anticipated acquisition by National Express Group plc of the Thameslink/Great Northern passenger rail franchise ,Mergers - phase 1 reference,Transport,2-Aug-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/national,,
Ardagh International Holdings Ltd / Rexam Glass Barnsley Ltd ,OFT closed case: Completed acquisition by Ardagh International Holdings Ltd of Rexam Glass Barnsley Ltd ,Mergers - phase 1 reference,Distribution and Service Industries ,31-Jul-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/ardagh,,
Travis Perkins Trading Company Ltd / PJ Scott & Sons ,OFT closed case: Completed acquisition by Travis Perkins Trading Company Ltd of PJ Scott & Sons ,Mergers - phase 1 found not to qualify,Building and construction ,26-Jul-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/travis-perkins2,,
Lindab AB / Astron Buildings SA ,OFT closed case: Anticipated acquisition by Lindab AB of Astron Buildings SA ,Mergers - Phase 1 Clearance ,Building and construction ,21-Jul-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/lindab,,
EWS Components Ltd / Probotec Ltd ,OFT closed case: Completed acquisition by EWS Components Ltd of certain assets of Probotec Ltd,Mergers - phase 1 found not to qualify,Transport,20-Jul-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/ews,,
British Land Company plc / Pillar Property plc ,OFT closed case: Anticipated acquisition by The British Land Company plc of Pillar Property plc ,Mergers - Phase 1 Clearance ,Distribution and service industries,14-Jul-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/british-land,,
Kellen Venture Ltd / British Gas Connections Ltd ,OFT closed case: Kellen Venture Ltd / British Gas Connections Ltd ,Mergers - phase 1 found not to qualify,Distribution and Service Industries ,13-Jul-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/kellen2,,
Go-Ahead Group plc / Southern Vectis plc ,OFT closed case: Anticipated acquisition by Go-Ahead Group plc of Southern Vectis plc,Mergers - phase 1 found not to qualify,Transport,10-Jul-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/go-ahead,,
MTR Laing Railway Company Ltd / Thameslink/Great Northern Franchise ,OFT closed case: Anticipated acquisition by MTR Laing Railway Company Ltd of the Thameslink/Great Northern Franchise ,Mergers - Phase 1 Clearance ,Transport,7-Jul-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/mtr,,
Stagecoach Group plc / Thameslink/Great Northern Franchise ,OFT closed case: Anticipated acquisition by Stagecoach Group plc of the Thameslink/Great Northern Franchise ,Mergers - Phase 1 Clearance ,Transport,6-Jul-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/stagecoach,,
CGU International Insurance plc / Gresham Insurance Company Ltd ,OFT closed case: Completed acquisition by CGU International Insurance plc of Gresham Insurance Company Ltd ,Mergers - Phase 1 Clearance ,Financial services ,5-Jul-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/cgu,,
T&F Informa plc / IIR Holdings Ltd ,OFT closed case: Anticipated acquisition by T&F Informa plc of IIR Holdings Ltd ,Mergers - phase 1 found not to qualify,Distribution and Service Industries ,5-Jul-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/tfinforma,,
A.S. Watson (P&C U. K.) Ltd / Merchant Retail Group plc ,OFT closed case: Anticipated acquisition by A.S. Watson (P&C U. K.) Ltd of Merchant Retail Group plc,Mergers - Phase 1 Clearance ,Retail and wholesale ,4-Jul-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/aswatson,,
Thameslink/Great Northern Franchise / FirstGroup plc ,OFT closed case: Anticipated acquisition of the Thameslink/Great Northern Franchise by FirstGroup plc ,Mergers - Phase 1 Clearance ,Transport,4-Jul-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/thameslink,,
Acco World Corporation / General Binding Corporation ,OFT closed case: Anticipated merger between Acco World Corporation and General Binding Corporation ,Mergers - Phase 1 Clearance ,Retail and wholesale ,3-Jul-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/acco,,
Asda Stores Ltd / Safeway / Wm Morrison Supermarkets plc ,OFT closed case: Anticipated acquisition by Asda Stores Ltd of twelve former Safeway stores in Northern Ireland from Wm Morrison Supermarkets plc ,Mergers - Phase 1 Clearance ,Retail and wholesale ,3-Jul-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/asda,,
Pentland Group plc / The John David Group plc ,OFT closed case: Anticipated acquisition by Pentland Group plc of The John David Group plc ,Mergers - Phase 1 Clearance ,Retail and wholesale ,30-Jun-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/pentland,,
Thames Rail Corridor Ltd / Thameslink / Great Northern Rail Franchise ,OFT closed case: Anticipated acquisition by Thames Rail Corridor Ltd (a joint venture between DSB and English Welsh and Scottish Railway Holding Ltd) of the Thameslink/Great Northern Rail Franchise ,Mergers - Phase 1 Clearance ,Transport,27-Jun-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/thames,,
Blackstone Group / UGC Cinemas Holdings Ltd ,OFT closed case: Completed acquisition by the Blackstone Group of UGC Cinemas Holdings Ltd ,Mergers - phase 1 clearance with undertakings in lieu,Recreation and Leisure,21-Jun-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/blackstone3,,
Microsoft Corporation / Sybari Software Inc. ,OFT closed case: Anticipated acquisition by Microsoft Corporation of Sybari Software Inc,Mergers - phase 1 found not to qualify,Electronics Industry ,20-Jun-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/microsoft,,
GUS plc / Index / Littlewoods Ltd ,OFT closed case: Anticipated acquisition by GUS plc of part of the Index business of Littlewoods Ltd,Mergers - Phase 1 Clearance ,Retail and wholesale ,19-Jun-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/gus,,
Mean Fiddler Music Group / Clear Channel Entertainment (Music) Ltd and Gaiety Investments Ltd ,OFT closed case: Anticipated acquisition of Mean Fiddler Music Group by Clear Channel Entertainment (Music) Ltd and Gaiety Investments Ltd ,Mergers - Phase 1 Clearance ,Recreation and Leisure,16-Jun-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/mean-fiddler,,
Kellen Acquisitions Ltd / East Surrey Holdings plc ,OFT closed case: Anticipated acquisition by Kellen Acquisitions Ltd (a private company owned by funds managed by Terra Firma Investments (GP) 2 Ltd) of East Surrey Holdings plc,Mergers - Phase 1 Clearance ,Energy,15-Jun-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/kellen,,
Phoenix Healthcare Distribution Ltd / East Anglian Pharmaceuticals Ltd ,OFT closed case: Phoenix Healthcare Distribution Ltd / East Anglian Pharmaceuticals Ltd ,Mergers - Phase 1 Clearance ,Distribution and Service Industries ,15-Jun-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/phoenix,,
Thomson SA / ContentGuard ,OFT closed case: Completed acquisition by Thomson SA of an interest in ContentGuard ,Mergers - phase 1 found not to qualify,Electronics Industry ,15-Jun-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/thomson,,
Future plc / Highbury House Communications plc ,OFT closed case: Anticipated acquisition by Future plc of certain businesses and magazine titles from Highbury House Communications plc,Mergers - Phase 1 Clearance ,Communications ,14-Jun-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/future2,,
Land Securities Group plc / Tops Estates plc ,OFT closed case: Acquisition by Land Securities Group plc of Tops Estates plc ,Mergers - phase 1 found not to qualify,Distribution and service industries,13-Jun-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/land-securities,,
Cooltrader Acquisitions Ltd / Cooltrader (Holdings) Ltd ,OFT closed case: Completed acquisition by Cooltrader Acquisitions Ltd of Cooltrader (Holdings) Ltd ,Mergers - phase 1 found not to qualify,Retail and wholesale ,9-Jun-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/cooltrader,,
Danaher Corporation / LEM Instruments from LEM Holdings SA ,OFT closed case: Anticipated Acquisition by Danaher Corporation of LEM Instruments from LEM Holdings SA ,Mergers - Phase 1 Clearance ,Electronics Industry ,9-Jun-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/danaher,,
Giant Bidco Ltd / Big Food Group plc ,OFT closed case: Completed acquisition by Giant Bidco Ltd of the Big Food Group plc,Mergers - Phase 1 Clearance ,Retail and wholesale ,9-Jun-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/giant-bidco,,
Lafarge Cement UK / West Thurrock Cement Terminal from Castle Cement Ltd ,OFT closed case: Anticipated acquisition by Lafarge Cement UK of the West Thurrock Cement Terminal from Castle Cement Ltd ,Mergers - Phase 1 Clearance ,Building and construction ,9-Jun-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/lafarge,,
Pura Foods Ltd / Princes Ltd ,OFT closed case: Anticipated joint venture between Pura Foods Ltd and Princes Ltd ,Mergers - Phase 1 Clearance ,Food manufacturing,9-Jun-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/pura-foods,,
Alphyra Holdings / PostTS UK Ltd and An Post Transaction Services S.A.U. ,OFT closed case: Completed acquisition by Alphyra Holdings of PostTS UK Ltd and An Post Transaction Services S.A.U. ,Mergers - phase 1 found not to qualify,Electronics Industry ,8-Jun-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/alphyra,,
Economy Power Ltd / E.ON UK plc ,OFT closed case: Proposed acquisition of Economy Power Ltd by E.ON UK plc ,Mergers - Phase 1 Clearance ,Energy,8-Jun-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/eon,,
Otis Ltd / Excelsior Lifts Ltd ,OFT closed case: Completed acquisition by Otis Ltd of Excelsior Lifts Ltd ,Mergers - Phase 1 Clearance ,Building and construction ,6-Jun-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/otis,,
Kaupthing Holdings UK Ltd / Singer and Friedlander Group plc ,OFT closed case: Anticipated acquisition by Kaupthing Holdings UK Ltd of Singer and Friedlander Group plc,Mergers - Phase 1 Clearance ,Financial services ,1-Jun-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/kaupthing,,
Limagrain / Advanta European Seed Business ,OFT closed case: Completed acquisition by Limagrain of the Advanta European Seed Business,Mergers - Phase 1 Clearance ,"Agriculture, environment and natural resources",31-May-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/limagrain,,
First West Yorkshire Ltd / Black Prince Buses Ltd ,OFT closed case: Anticipated acquisition by First West Yorkshire Ltd of Black Prince Buses Ltd ,Mergers - Phase 1 Clearance ,Transport,26-May-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/firstwest,,
British Salt Ltd / New Cheshire Salt Works Ltd ,OFT closed case: Completed acquisition by British Salt Ltd of New Cheshire Salt Works Ltd ,Mergers - phase 1 reference,Food manufacturing,25-May-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/british-salt,,
Huntsworth plc / Incepta Group plc ,OFT closed case: Anticipated acquisition by Huntsworth plc of Incepta Group plc,Mergers - Phase 1 Clearance ,Communications ,25-May-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/huntsworth,,
Premier Foods plc / Kraft Foods Inc ,OFT closed case: Completed acquisition by Premier Foods plc of the UK desserts business of Kraft Foods Inc ,Mergers - Phase 1 Clearance ,Food manufacturing,23-May-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/premier-foods,,
Bestway (Holdings) Ltd / Batleys Ltd ,OFT closed case: Completed acquisition by Bestway (Holdings) Ltd of Batleys Ltd,Mergers - Phase 1 Clearance ,Retail and wholesale ,19-May-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/bestway,,
"Secondary Market Infrastructure Fund UK LP / South Downs Capital, parent company of Portsmouth Water ","OFT closed case: Completed acquisition by Secondary Market Infrastructure Fund UK LP of an interest in South Downs Capital, parent company of Portsmouth Water ",Mergers - phase 1 found not to qualify,Energy,19-May-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/secondary,,
Johnston Press plc / Thorne and District Gazette and associated titles ,OFT closed case: Anticipated acquisition by Johnston Press plc of Thorne and District Gazette and associated titles ,Mergers - phase 1 found not to qualify,Communications ,12-May-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/johnston2,,
Vertex Data Science Ltd / Marlborough Stirling plc ,OFT closed case: Anticipated acquisition by Vertex Data Science Ltd of Marlborough Stirling plc ,Mergers - Phase 1 Clearance ,Electronics Industry ,12-May-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/vertex,,
Actuant Corporation / Hydratight Sweeney Business of Dover Diversified Inc ,OFT closed case: Anticipated acquisition by Actuant Corporation of the Hydratight Sweeney Business of Dover Diversified Inc ,Mergers - phase 1 found not to qualify,Engineering ,8-May-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/actuant,,
Augean plc / Atlantic Waste Holdings Ltd and Zero Waste Holdings Ltd ,OFT closed case: Completed acquisition by Augean plc of Atlantic Waste Holdings Ltd and Zero Waste Holdings Ltd ,Mergers - Phase 1 Clearance ,Distribution and Service Industries ,8-May-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/augean,,
Terra Firma Investments (GP) 2 Ltd / United Cinemas International (UK) Ltd and Cinema International Corporation (UK) Ltd ,OFT closed case: Acquisition by Terra Firma Investments (GP) 2 Ltd of United Cinemas International (UK) Ltd and Cinema International Corporation (UK) Ltd ,Mergers - phase 1 clearance with undertakings in lieu,Recreation and Leisure,8-May-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/terra-firma,,
Britannic Assurance plc / Allianz Cornhill Insurance plc's life operations ,OFT closed case: Completed acquisition by Britannic Assurance plc of Allianz Cornhill Insurance plc's life operations ,Mergers - Phase 1 Clearance ,Financial services ,5-May-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/britannic,,
