Title,Summary,Outcome type,Market sector,Closed date,Archive URL,,
E.ON Ruhrgas AG / Caledonia Oil & Gas Ltd ,OFT closed case: Completed acquisition by E.ON Ruhrgas AG of Caledonia Oil & Gas Ltd,Mergers - phase 1 found not to qualify,Oil and Gas refining and Petrochemicals,13-Dec-05,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/eon-ruhrgas,,
FirstGroup plc / ScotRail franchise ,OFT closed case: Anticipated acquisition by FirstGroup plc of the ScotRail Franchise,Mergers - phase 1 reference,Transport,12-Dec-05,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2004/firstgroup2,,
HMV Group plc through Waterstone's plc / Ottakar's plc ,OFT closed case: Anticipated acquisition by HMV Group plc through Waterstone's plc of Ottakar's plc,Mergers - phase 1 reference,Retail and wholesale,6-Dec-05,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/hmv,,
Talisman Energy Resources Ltd / Paladin Resources plc ,OFT closed case: Anticipated acquisition by Talisman Energy Resources Ltd of Paladin Resources plc ,Mergers - phase 1 clearance,Oil and Gas refining and Petrochemicals,5-Dec-05,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/talisman,,
The Fluid and Air Distribution division of Cobham plc's Aerospace Systems / Eaton Corporation ,OFT closed case: Completed acquisition of the Fluid and Air Distribution Division of Cobham plc's Aerospace Systems by Eaton Corporation,Mergers - phase 1 found not to qualify,Aerospace,5-Dec-05,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/eaton,,
Försäkringsaktiebolaget Skandia (publ) / Old Mutual plc ,OFT closed case: Anticipated acquisition of Försäkringsaktiebolaget Skandia (publ) by Old Mutual plc ,Mergers - phase 1 clearance,Distribution and Service Industries,30-Nov-05,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/old-mutual,,
Lloyds Pharmacy Ltd / part of the Cohens and Scholes pharmacy chains ,OFT closed case: Anticipated acquisition by Lloyds Pharmacy Ltd of part of the Cohens and Scholes pharmacy chains,Mergers - phase 1 clearance,Retail and wholesale,29-Nov-05,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/lloyds,,
Sainsbury's / Budgens store at Wootton Bassett ,OFT closed case: Completed acquisition by Sainsbury's of the Budgens store at Wootton Bassett ,Mergers - phase 1 found not to qualify,Retail and wholesale,29-Nov-05,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/sainsburys,,
Cott Beverages Ltd / Macaw (Holdings) Ltd ,OFT closed case: Completed acquisition by Cott Beverages Ltd of Macaw (Holdings) Ltd ,Mergers - phase 1 reference,Food manufacturing,28-Nov-05,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/cott,,
Dairy Crest Group plc / Express Foodservice business in London of Arla Foods UK Ltd ,OFT closed case: Completed acquisition by Dairy Crest Group plc of the Express Foodservice business in London of Arla Foods UK Ltd,Mergers - phase 1 found not to qualify,Retail and wholesale,28-Nov-05,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/dairycrest3,,
IDEXX Laboratories Ltd / Vetlab Services Ltd ,OFT closed case: Completed acquisition by IDEXX Laboratories Ltd of the veterinary diagnostic testing business of Vetlab Services Ltd,Mergers - phase 1 clearance,Healthcare and medical equipment,24-Nov-05,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/idexx,,
Lightflower Ltd / Urbium plc ,OFT closed case: Completed acquisition by Lightflower Ltd of Urbium plc ,Mergers - phase 1 clearance,Recreation and Leisure,22-Nov-05,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/lightflower,,
