Title ,Summary,Outcome type,Market sector,Open date,Closed date,Archive URL
Northern Ireland Livestock and Auctioneers Association: commission on livestock purchases,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter II,"Agriculture, environment and natural resources ",19/01/01,04/02/03,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/livestock
Oakley: investigation into price-fixing of sunglasses  ,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Administrative priorities,"Clothing, footwear and fashion",01/08/03,01/02/07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/Oakley
Amazon online retailer: investigation into anti-competitive practices,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Administrative priorities,Retail and wholesale,01/10/13,01/10/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/online-retail/
Pool Reinsurance Company Ltd: competition investigation,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Financial services,11/02/03,14/04/04,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/pool
Private motor insurance: exchange of data,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Transport,13/01/10,02/12/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/motor-insurance
"Procter & Gamble Pharmaceuticals UK, Ltd: alleged abuse of a dominant position",Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Pharmaceuticals,01/10/05,01/05/08,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/proctorgamble
Reckitt Benckiser: alleged abuse of a dominant position,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter II,Pharmaceuticals,01/11/08,13/04/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/reckitt-benckiser
Recruitment agencies: collective boycott and price-fixing,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter I,Distribution and Services Industries ,31/05/06,30/09/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/recruitment-agencies/
Scottish dairies: Chapter I investigation into price-fixing and market-sharing ,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Food manufacturing,01/05/03,01/10/08,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/scottish-milk
Sports goods retail sector: Chapter I investigation into anti-competitive practices ,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Retail and wholesale,01/09/09,17/10/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/sports-goods/
Stock check pads: price-fixing and market-sharing,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter I,Retail and wholesale,01/02/04,31/03/06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/pads
Street furniture (outdoor advertising): contracts between media owners and local authorities ,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Commitments,Communications,01/02/11,17/05/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/street-furniture/
Supply of oil fuels in an emergency: memorandum of understanding,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Oil and Gas refining and Petrochemicals,,31/10/01,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/oil-supply
Swan Solutions Ltd / Avaya ECS Ltd: alleged abuse of a dominant position,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Communications,,05/04/01,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/swan
TM Property / MacDonald Dettwiler: alleged abuse of a dominant position,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Building and construction,01/10/00,28/09/04,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/tm-property
Tobacco manufacturers: investigation into anti-competitive practices,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter I,Retail and wholesale,01/04/08,15/04/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/tobacco
Transport sector: investigation into suspected anti-competitive practices,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Administrative priorities,Transport,01/12/10,06/07/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/transport-sector/
UK Asbestos Training Association: provision of training services to the construction industry,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Commitments,Building and construction,01/01/13,26/03/13,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/oft-current-cases/competition-case-list-2013/training-construction-industry
UK grocery sector: retailers and suppliers ,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Administrative priorities,Retail and wholesale,01/04/08,01/11/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/retailers-and-suppliers-ccs1
Airline passenger fuel surcharge - concluded prosecutions ,,"Infringement of Chapter I


",Transport,10/05/10,08/11/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/criminal-cartels-completed/fuel-surcharges-proceedings
UOP desiccant: price-fixing investigation,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter I,Building and construction,13/02/03,09/11/04,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/uop-limited
Virgin and Cathay Pacific: London to Hong Kong passenger route - Chapter 1 of the CA98,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Transport,01/11/07,14/12/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/virgin-cathay/
Visa sponsorship arrangements for Olympics 2012  ,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Administrative priorities,Financial services,,01/03/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/visa-olympic-sponsorship/
Walkers Snacks Ltd: alleged abuse of a dominant position,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Administrative priorities,Food manufacturing,08/07/02,03/05/07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/Walkers
