Title ,Summary,Outcome type,Market sector,Open date,Closed date,Archive URL,
Automotive sector: criminal cartel investigation,Office of Fair Trading (OFT) closed criminal cartel case,,Motor Industry ,01/02/10,04/10/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/criminal-cartels-completed/automotive-sector/,
Commercial vehicle manufacturers: criminal cartel investigation,Office of Fair Trading (OFT) closed criminal cartel case,,Motor Industry ,01/09/10,01/12/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/criminal-cartels-completed/commercial-vehicle-criminal/,
Fuel surcharge: criminal cartel investigation,Office of Fair Trading (OFT) closed criminal cartel case,,Oil and Gas refining and Petrochemicals,,11/8/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/criminal-cartels-completed/fuel-surcharges-proceedings,
Agricultural sector: criminal cartel investigation,Office of Fair Trading (OFT) closed criminal cartel case,,Agriculture,4/20/10,8/3/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/criminal-cartels-completed/agricultural-sector/,
Marine hose: criminal cartel investigation,Office of Fair Trading (OFT) closed criminal cartel case,Criminal cartels - verdict,Building and construction,,11/14/08,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/criminal-cartels-completed/marine-hose,
